ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On
12552399,JE459045,2021-11-28 04:39:00,048XX W NELSON ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,2521,25,31,19,04A,2021,2021-12-05 15:42:51
12766744,JF324452,2022-07-20 05:30:00,062XX N KILDARE AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1711,17,39,12,06,2022,2023-01-03 15:40:27
12259489,JE101102,2021-01-02 10:00:00,016XX E 95TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,431,4,7,51,07,2021,2021-01-16 15:39:23
12398408,JE270791,2021-06-18 16:09:00,095XX S WOODLAWN AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,False,False,511,5,8,50,05,2021,2021-06-25 15:40:42
12394621,JE265470,2021-06-12 02:30:00,006XX N DEARBORN ST,0810,THEFT,OVER $500,RESTAURANT,False,False,1832,18,42,8,06,2021,2021-06-19 15:40:01
12280449,JE125689,2020-12-29 00:00:00,014XX N LAVERGNE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,2533,25,37,25,11,2020,2021-01-30 15:39:55
12752107,JF305764,2022-06-30 10:00:00,010XX E 47TH ST,0820,THEFT,$500 AND UNDER,RESTAURANT,False,False,222,2,4,39,06,2022,2023-01-03 15:40:27
12632624,JF162328,2022-02-28 10:30:00,028XX S WESTERN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,BANK,False,False,1034,10,25,31,11,2022,2023-01-03 15:40:27
12232479,JD444525,2020-11-28 23:42:00,043XX S COTTAGE GROVE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,221,2,4,38,15,2020,2020-12-17 15:40:05
12117365,JD310949,2020-07-26 17:20:00,067XX S SOUTH SHORE DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE - COMMERCIAL,False,True,331,3,5,43,08B,2020,2021-09-07 15:41:02
12660507,JF195703,2022-03-14 03:00:00,019XX W CHICAGO AVE,0810,THEFT,OVER $500,BAR OR TAVERN,False,False,1221,12,1,24,06,2022,2023-01-03 15:40:27
12699748,JF243431,2022-05-15 16:00:00,013XX W DIVERSEY PKWY,0810,THEFT,OVER $500,STREET,False,False,1932,19,32,7,06,2022,2023-01-03 15:40:27
12948672,JG110871,2022-11-06 00:00:00,032XX W WARREN BLVD,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES,APARTMENT,False,True,1123,11,28,27,17,2022,2023-01-11 15:41:28
