ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12329132,JE185820,03/31/2021 07:00:00 PM,033XX N PULASKI RD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,1732.0,17.0,30.0,21.0,26,1149137.0,1921951.0,2021.0,04/07/2021 03:40:57 PM,41.941762494,-87.727267038,"(41.941762494, -87.727267038)"
12813034,JF379127,09/01/2022 07:00:00 AM,007XX W WAYMAN ST,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1214.0,12.0,42.0,28.0,06,1171358.0,1902334.0,2022.0,01/03/2023 03:40:27 PM,41.887472275,-87.646173514,"(41.887472275, -87.646173514)"
12912192,JF497936,12/04/2022 03:00:00 PM,106XX S RIDGEWAY AVE,0460,BATTERY,SIMPLE,DRIVEWAY - RESIDENTIAL,False,False,2211.0,22.0,19.0,74.0,08B,1153233.0,1833736.0,2022.0,01/03/2023 03:40:27 PM,41.699608315,-87.714547408,"(41.699608315, -87.714547408)"
12690514,JF231805,05/05/2022 12:50:00 PM,081XX S COTTAGE GROVE AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,631.0,6.0,8.0,44.0,08A,1182972.0,1851219.0,2022.0,01/03/2023 03:40:27 PM,41.746945834,-87.605114755,"(41.746945834, -87.605114755)"
12555760,JE462959,12/01/2021 09:20:00 PM,003XX S WHIPPLE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,STREET,False,False,1124.0,11.0,28.0,27.0,11,1156097.0,1898367.0,2021.0,12/08/2021 03:44:18 PM,41.876908113,-87.702323689,"(41.876908113, -87.702323689)"
12162621,JD319208,08/03/2020 09:00:00 AM,006XX W OHARE ST,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,GOVERNMENT BUILDING / PROPERTY,True,False,1654.0,16.0,41.0,76.0,18,,,2020.0,03/20/2021 03:39:15 PM,,,
12603567,JF126386,01/27/2022 11:29:00 PM,007XX E 77TH ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,True,True,624.0,6.0,6.0,69.0,08B,1182669.0,1854122.0,2022.0,01/03/2023 03:40:27 PM,41.754919006,-87.606135109,"(41.754919006, -87.606135109)"
12272124,JE115830,01/17/2021 09:41:00 PM,038XX S HONORE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,912.0,9.0,12.0,59.0,08B,1164656.0,1879200.0,2021.0,01/24/2021 03:41:07 PM,41.824135044,-87.671440085,"(41.824135044, -87.671440085)"
12271555,JE114537,01/12/2021 08:30:00 AM,040XX W 81ST ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,834.0,8.0,18.0,70.0,26,1150673.0,1850535.0,2021.0,01/20/2021 03:39:23 PM,41.74575798,-87.723485411,"(41.74575798, -87.723485411)"
12707539,JF252751,05/23/2022 03:02:00 PM,0000X E 120TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,SIDEWALK,False,False,532.0,5.0,9.0,53.0,14,1178650.0,1825407.0,2022.0,01/03/2023 03:40:27 PM,41.676213523,-87.621733221,"(41.676213523, -87.621733221)"
12353909,JE215976,05/01/2021 12:30:00 PM,091XX S COMMERCIAL AVE,0560,ASSAULT,SIMPLE,BANK,False,False,423.0,4.0,10.0,46.0,08A,1197733.0,1844905.0,2021.0,05/08/2021 03:40:26 PM,41.729264191,-87.551237878,"(41.729264191, -87.551237878)"
12924481,JF511562,12/14/2022 05:00:00 AM,001XX W 109TH PL,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,513.0,5.0,34.0,49.0,07,1177347.0,1832345.0,2022.0,01/03/2023 03:40:27 PM,41.695281864,-87.626294076,"(41.695281864, -87.626294076)"
12903215,JF487284,07/04/2022 09:00:00 AM,010XX N LAWNDALE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1112.0,11.0,27.0,23.0,07,1151522.0,1906724.0,2022.0,01/03/2023 03:40:27 PM,41.899931658,-87.718902096,"(41.899931658, -87.718902096)"
12711529,JF257381,05/27/2022 03:34:00 AM,056XX S MAY ST,0460,BATTERY,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,712.0,7.0,16.0,68.0,08B,1169615.0,1867359.0,2022.0,01/03/2023 03:40:27 PM,41.791535799,-87.653590761,"(41.791535799, -87.653590761)"
12636775,JF166141,03/07/2022 12:45:00 PM,009XX W 19TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,1235.0,12.0,25.0,31.0,14,1170150.0,1891101.0,2022.0,01/03/2023 03:40:27 PM,41.856674545,-87.650937568,"(41.856674545, -87.650937568)"
12660506,JF195542,04/03/2022 08:07:00 AM,049XX W BYRON ST,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,True,True,1634.0,16.0,45.0,15.0,04A,1142745.0,1925466.0,2022.0,01/03/2023 03:40:27 PM,41.951529586,-87.75067275,"(41.951529586, -87.75067275)"
12744864,JF297866,06/28/2022 07:55:00 PM,125XX S WENTWORTH AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,523.0,5.0,9.0,53.0,15,1177217.0,1821742.0,2022.0,01/03/2023 03:40:27 PM,41.666188543,-87.627088267,"(41.666188543, -87.627088267)"
12865773,JF442219,10/20/2022 05:04:00 PM,030XX W 62ND ST,0560,ASSAULT,SIMPLE,APARTMENT,False,True,823.0,8.0,16.0,66.0,08A,1157017.0,1863365.0,2022.0,01/03/2023 03:40:27 PM,41.780839741,-87.699893321,"(41.780839741, -87.699893321)"
12773762,JF332846,07/26/2022 07:28:00 PM,023XX W MADISON ST,1821,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS 10 GRAMS OR LESS,SIDEWALK,True,False,1223.0,12.0,27.0,28.0,18,1160740.0,1899958.0,2022.0,01/03/2023 03:40:27 PM,41.881179025,-87.685231857,"(41.881179025, -87.685231857)"
12355399,JE217837,05/03/2021 04:00:00 AM,079XX S JUSTINE ST,0810,THEFT,OVER $500,APARTMENT,False,True,612.0,6.0,21.0,71.0,06,1167379.0,1852267.0,2021.0,05/10/2021 03:40:27 PM,41.750169618,-87.662221556,"(41.750169618, -87.662221556)"
12570656,JE480997,12/17/2021 05:30:00 AM,063XX S TALMAN AVE,0810,THEFT,OVER $500,STREET,False,False,825.0,8.0,16.0,66.0,06,1159799.0,1862514.0,2021.0,12/24/2021 03:40:11 PM,41.778447788,-87.689717249,"(41.778447788, -87.689717249)"
12787168,JF348557,08/08/2022 06:16:00 AM,006XX S PULASKI RD,0810,THEFT,OVER $500,STREET,False,False,1132.0,11.0,24.0,26.0,06,1149822.0,1896838.0,2022.0,01/03/2023 03:40:27 PM,41.872836648,-87.725403519,"(41.872836648, -87.725403519)"
12227530,JD438733,11/22/2020 01:11:00 PM,103XX S WALLACE ST,2027,NARCOTICS,POSSESS - CRACK,ALLEY,True,False,2232.0,22.0,34.0,49.0,18,1174136.0,1836109.0,2020.0,12/17/2020 03:40:05 PM,41.705682572,-87.637939281,"(41.705682572, -87.637939281)"
12935798,JF526262,12/28/2022 10:00:00 AM,023XX S DR MARTIN LUTHER KING JR DR,0810,THEFT,OVER $500,OTHER (SPECIFY),False,False,132.0,1.0,4.0,33.0,06,1178880.0,1889112.0,2022.0,01/04/2023 03:41:19 PM,41.85102174,-87.618954852,"(41.85102174, -87.618954852)"
12247864,JD461347,12/16/2020 04:00:00 PM,001XX E 122ND PL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,532.0,5.0,9.0,53.0,08A,1179434.0,1823767.0,2020.0,12/23/2020 03:40:29 PM,41.671695312,-87.618913377,"(41.671695312, -87.618913377)"
12362943,JE227106,05/11/2021 07:06:00 PM,013XX N WALLER AVE,5110,OTHER OFFENSE,GUN OFFENDER - DUTY TO REGISTER,SIDEWALK,True,False,2531.0,25.0,29.0,25.0,26,1138101.0,1908269.0,2021.0,05/18/2021 03:40:55 PM,41.904424512,-87.768160931,"(41.904424512, -87.768160931)"
12554105,JE461123,11/29/2021 07:00:00 AM,027XX W THORNDALE AVE,0810,THEFT,OVER $500,STREET,False,False,2011.0,20.0,40.0,2.0,06,1157061.0,1939072.0,2021.0,12/06/2021 03:46:37 PM,41.988586047,-87.697676062,"(41.988586047, -87.697676062)"
12349309,JE210220,04/25/2021 01:00:00 PM,0000X W CERMAK RD,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,False,131.0,1.0,3.0,33.0,14,1176335.0,1889776.0,2021.0,05/02/2021 03:41:47 PM,41.852901521,-87.628275435,"(41.852901521, -87.628275435)"
12694783,JF237073,05/10/2022 03:08:00 PM,052XX S HERMITAGE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,True,False,932.0,9.0,16.0,61.0,15,1165565.0,1870050.0,2022.0,01/03/2023 03:40:27 PM,41.799007141,-87.668365008,"(41.799007141, -87.668365008)"
12285886,JE132454,02/04/2021 03:35:00 PM,048XX N ROCKWELL ST,0820,THEFT,$500 AND UNDER,ALLEY,False,False,2031.0,20.0,40.0,4.0,06,1158165.0,1931945.0,2021.0,02/11/2021 03:40:22 PM,41.969006666,-87.693811132,"(41.969006666, -87.693811132)"
12260690,JE102453,01/03/2021 07:37:00 PM,0000X N HOMAN BLVD,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,True,False,1123.0,11.0,28.0,27.0,26,1153708.0,1900256.0,2021.0,01/16/2021 03:39:23 PM,41.882139587,-87.71104513,"(41.882139587, -87.71104513)"
12581630,JE493652,12/30/2021 03:29:00 PM,047XX N LAPORTE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,False,False,1623.0,16.0,45.0,15.0,06,,,2021.0,01/06/2022 03:43:35 PM,,,
12767998,JF325892,07/21/2022 10:20:00 AM,023XX E 97TH ST,0820,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,False,False,431.0,4.0,7.0,51.0,06,1193297.0,1841010.0,2022.0,01/03/2023 03:40:27 PM,41.718685396,-87.567614676,"(41.718685396, -87.567614676)"
12787223,JF348695,08/07/2022 04:30:00 PM,0000X S JEFFERSON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,121.0,1.0,42.0,28.0,14,1172337.0,1900098.0,2022.0,01/03/2023 03:40:27 PM,41.881314979,-87.642644446,"(41.881314979, -87.642644446)"
12901149,JF484846,11/22/2022 11:00:00 PM,067XX S CREGIER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,332.0,3.0,5.0,43.0,07,1189363.0,1860630.0,2022.0,01/03/2023 03:40:27 PM,41.772619625,-87.581395365,"(41.772619625, -87.581395365)"
12098497,JD287681,07/04/2020 09:15:00 PM,017XX W ROSCOE ST,0890,THEFT,FROM BUILDING,APARTMENT,False,False,1922.0,19.0,47.0,6.0,06,1164094.0,1922620.0,2020.0,07/11/2020 03:41:27 PM,41.943294921,-87.672274821,"(41.943294921, -87.672274821)"
12677214,JF215670,04/21/2022 09:00:00 PM,110XX S CAMPBELL AVE,0810,THEFT,OVER $500,STREET,False,False,2212.0,22.0,19.0,75.0,06,1161679.0,1831384.0,2022.0,01/03/2023 03:40:27 PM,41.692983328,-87.683686472,"(41.692983328, -87.683686472)"
12963200,JG128882,12/06/2022 12:00:00 PM,115XX S ABERDEEN ST,0810,THEFT,OVER $500,RESIDENCE,False,False,524.0,5.0,34.0,53.0,06,1171062.0,1828309.0,2022.0,11/15/2023 03:41:31 PM,41.684345701,-87.649422793,"(41.684345701, -87.649422793)"
12256408,JD467822,12/23/2020 05:50:00 PM,004XX N RIDGEWAY AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,1122.0,11.0,27.0,23.0,04A,1151308.0,1902789.0,2020.0,01/06/2021 03:39:37 PM,41.889137823,-87.719791482,"(41.889137823, -87.719791482)"
12774028,JF333073,07/27/2022 02:30:00 AM,130XX S EVANS AVE,0810,THEFT,OVER $500,STREET,False,True,533.0,5.0,9.0,54.0,06,1183714.0,1818716.0,2022.0,01/03/2023 03:40:27 PM,41.657736191,-87.603405336,"(41.657736191, -87.603405336)"
12401354,JE274542,06/21/2021 04:31:00 PM,092XX S WALLACE ST,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,2223.0,22.0,21.0,73.0,18,1173927.0,1843576.0,2021.0,06/28/2021 03:40:57 PM,41.726177711,-87.638483946,"(41.726177711, -87.638483946)"
